int(self),disturbance_cycles,self.cycle,self.total_delivered,mean_cyc_to_deliver
255,100,5000,10957,9.093364972163913
256,100,5000,11052,9.120792616720955
257,100,5000,10866,9.208264310693908
258,100,5000,11073,9.136999909690237
259,100,5000,11019,9.152554678282966
320,250,5000,8549,9.085039185869693
321,250,5000,8493,9.226892735193688
322,250,5000,8480,9.15188679245283
323,250,5000,8553,9.178066175610896
324,250,5000,8413,9.141091168429812
325,250,5000,8365,9.192707710699343
326,250,5000,8492,9.101625058878945
327,250,5000,8360,9.242703349282296
328,250,5000,8371,9.221001075140366
329,250,5000,8630,9.194669756662805
330,250,5000,8342,9.415727643251019
331,250,5000,8661,9.003463803255976
332,250,5000,8461,9.248552180593311
333,250,5000,8789,8.891000113778587
334,250,5000,8421,9.252820330127063
335,250,5000,8476,9.223690420009438
336,250,5000,8547,9.317421317421317
337,250,5000,8540,9.075058548009368
338,250,5000,8466,9.09851169383416
339,250,5000,8546,9.119939152820033
400,250,5000,11243,8.566841590322868
401,250,5000,11177,8.674778563120695
402,250,5000,11215,8.568345965225145
403,250,5000,10936,8.592264081931237
404,250,5000,11301,8.611715777364836
405,250,5000,11208,8.542112776588151
406,250,5000,11312,8.525371287128714
407,250,5000,11028,8.532825535001814
408,250,5000,11223,8.572752383498173
409,250,5000,11134,8.586581641817855
410,250,5000,11050,8.623800904977376
411,250,5000,11316,8.525008837044892
412,250,5000,11150,8.586188340807174
413,250,5000,11260,8.56296625222025
414,250,5000,11292,8.570580942260007
415,250,5000,11188,8.587146943153378
416,250,5000,11097,8.612958457240696
417,250,5000,11200,8.557321428571429
418,250,5000,11237,8.52416125300347
419,250,5000,11078,8.579526990431486
480,500,5000,8701,8.623146764739685
481,500,5000,8591,8.700733325573275
482,500,5000,8577,8.935292060160895
483,500,5000,8698,8.756955621982065
484,500,5000,8897,8.671125098347758
485,500,5000,8726,8.705019482007792
486,500,5000,8503,8.812536751734681
487,500,5000,8614,8.77420478291154
488,500,5000,8647,8.817046374465132
489,500,5000,8767,8.701722367970799
490,500,5000,8563,8.767371248394255
491,500,5000,8890,8.737682789651293
492,500,5000,8662,8.750634957284692
493,500,5000,8618,8.834416337897425
494,500,5000,8899,8.756714237554782
495,500,5000,8549,8.87331851678559
496,500,5000,8488,8.858270499528746
497,500,5000,8538,8.887678613258375
498,500,5000,8668,8.771804337794185
499,500,5000,8673,8.75233483223798
560,500,5000,11287,8.346947816071587
561,500,5000,11269,8.449019433845061
562,500,5000,11224,8.378831076265145
563,500,5000,11293,8.3502169485522
564,500,5000,11324,8.372659837513247
565,500,5000,11253,8.328978938949614
566,500,5000,11207,8.39796555724101
567,500,5000,10986,8.463134898962316
568,500,5000,11329,8.413717009444788
569,500,5000,11169,8.377383830244426
570,500,5000,11273,8.376297347644815
571,500,5000,11287,8.400903694515815
572,500,5000,11325,8.365209713024283
573,500,5000,11305,8.426360017691287
574,500,5000,11186,8.382263543715359
575,500,5000,11151,8.407676441574747
576,500,5000,11214,8.417959693240592
577,500,5000,11388,8.309711977520196
578,500,5000,11240,8.387989323843417
579,500,5000,11183,8.457032996512563
