int(self),disturbance_cycles,self.cycle,self.no_transporter,self.total_delivered,mean_cyc_to_deliver
256,100,5000,68,10988,9.144066254095376
257,100,5000,68,11104,8.990363832853026
258,100,5000,68,11182,9.00679663745305
259,100,5000,68,11012,9.08472575372321
320,250,5000,34,8168,9.520812928501469
321,250,5000,34,8455,9.210762862211709
322,250,5000,34,8433,9.27665125103759
323,250,5000,34,8389,9.119561330313505
324,250,5000,34,8437,9.25115562403698
325,250,5000,34,8655,9.113460427498556
326,250,5000,34,8394,9.27996187753157
327,250,5000,34,8111,9.41092343730736
328,250,5000,34,8501,9.121162216209857
329,250,5000,34,8630,9.139513325608343
330,250,5000,34,8395,9.378796902918404
331,250,5000,34,8620,9.078190255220418
332,250,5000,34,8430,9.215302491103202
333,250,5000,34,8518,9.10061047194177
334,250,5000,34,8469,9.114063053489195
335,250,5000,34,8552,9.387745556594949
336,250,5000,34,8527,9.179547320276768
337,250,5000,34,8524,9.204950727358048
338,250,5000,34,8499,9.089657606777267
339,250,5000,34,8464,9.123345935727789
400,250,5000,68,11105,8.617829806393516
401,250,5000,68,11064,8.652838033261027
402,250,5000,68,11257,8.555831926801101
403,250,5000,68,11164,8.575241848799713
404,250,5000,68,11204,8.569975008925384
405,250,5000,68,11201,8.66672618516204
406,250,5000,68,11259,8.535393907096545
407,250,5000,68,11157,8.633862149323296
408,250,5000,68,11192,8.630271622587562
409,250,5000,68,11232,8.581997863247864
410,250,5000,68,11321,8.522745340517622
411,250,5000,68,11037,8.615747032708164
412,250,5000,68,11204,8.542484826847554
413,250,5000,68,11205,8.501829540383758
414,250,5000,68,11193,8.577503797015993
415,250,5000,68,11287,8.555683529724462
416,250,5000,68,11143,8.545634030332945
417,250,5000,68,11165,8.572951186744291
418,250,5000,68,11086,8.591015695471766
419,250,5000,68,11288,8.544029057406094
480,500,5000,34,8477,8.75616373717117
481,500,5000,34,8550,8.951929824561404
482,500,5000,34,8624,8.806702226345083
483,500,5000,34,8823,8.82726963617817
484,500,5000,34,8536,8.79674320524836
485,500,5000,34,8706,8.793820353779003
486,500,5000,34,8605,8.800697269029634
487,500,5000,34,8808,8.858197093551317
488,500,5000,34,8640,8.751388888888888
489,500,5000,34,8662,8.84195335950127
490,500,5000,34,8702,8.73672718915192
491,500,5000,34,8627,8.827634171786253
492,500,5000,34,8585,8.8110658124636
493,500,5000,34,8449,8.92377796188898
494,500,5000,34,8473,8.855187064794052
495,500,5000,34,8550,8.789005847953216
496,500,5000,34,8651,8.855045659461334
497,500,5000,34,8383,8.887987593940117
498,500,5000,34,8464,8.802103024574668
499,500,5000,34,8709,8.749569410954185
560,500,5000,68,11374,8.346052400211008
561,500,5000,68,11331,8.484158503221252
562,500,5000,68,11225,8.43207126948775
563,500,5000,68,11332,8.401253088598658
564,500,5000,68,11183,8.345971563981042
565,500,5000,68,11282,8.356674348519766
566,500,5000,68,11271,8.411054919705439
567,500,5000,68,11238,8.409147535148604
568,500,5000,68,11354,8.395807644882861
569,500,5000,68,11178,8.398192878869207
570,500,5000,68,11222,8.463286401710924
571,500,5000,68,11223,8.352668626926846
572,500,5000,68,11263,8.414987125987748
573,500,5000,68,11155,8.371402958314658
574,500,5000,68,11290,8.37245349867139
575,500,5000,68,11246,8.367953049973323
576,500,5000,68,11159,8.46724616901156
577,500,5000,68,11223,8.42911877394636
578,500,5000,68,11267,8.389455933256412
579,500,5000,68,11156,8.40435640014342
