int(self),disturbance_cycles,self.cycle,self.total_delivered,mean_cyc_to_deliver
628,500,5000,11325,8.380044150110376
629,500,5000,11180,8.415742397137747
630,500,5000,11264,8.470081676136363
631,500,5000,11206,8.412189898268785
632,500,5000,11225,8.410779510022271
633,500,5000,11170,8.401342882721575
634,500,5000,11363,8.48904338642964
635,500,5000,11240,8.354715302491103
636,500,5000,11273,8.391288920429345
637,500,5000,11173,8.434887675646648
638,500,5000,11242,8.415673367728163
639,500,5000,11069,8.439967476736832
