int(self),disturbance_cycles,self.cycle,self.total_delivered,mean_cyc_to_deliver
604,500,5000,11075,8.479819413092551
605,500,5000,11268,8.417021654242102
606,500,5000,11056,8.519084659913169
607,500,5000,11082,8.45740841003429
608,500,5000,11320,8.501855123674911
609,500,5000,11076,8.517244492596605
610,500,5000,11166,8.40668099588035
611,500,5000,11212,8.400463788797717
612,500,5000,11075,8.527404063205418
613,500,5000,11264,8.467329545454545
614,500,5000,11363,8.395846167385374
615,500,5000,11297,8.508719128972293
616,500,5000,11033,8.5171757454908
617,500,5000,11335,8.468019408910454
618,500,5000,11161,8.45524594570379
619,500,5000,11204,8.48259550160657
